row_label,0:<blank>,1:<blank>,2:<blank>,3:This,4:sentence,5::,"6:""",7:a,8:man,9:with,10:a,11:hard,12:hat,13:is,14:dan,15:cing,16:.,"17:""",18:means,19:in,20:one,21:word,"22::"""
L6-means,0.00000000,0.00000000,0.98902398,0.00081140,0.00050025,0.00302736,0.00136964,0.00079359,0.00000658,0.00010916,0.00054792,0.00001884,0.00003210,0.00007745,0.00148885,0.00035052,0.00010305,0.00028917,0.00145019,0.00000000,0.00000000,0.00000000,0.00000000
L6-in,0.00000000,0.00000000,0.98605424,0.00263383,0.00046804,0.00122874,0.00038797,0.00004788,0.00006422,0.00009663,0.00052631,0.00023676,0.00006432,0.00035297,0.00260161,0.00114786,0.00002278,0.00052802,0.00003896,0.00349873,0.00000000,0.00000000,0.00000000
L6-one,0.00000000,0.00000000,0.98940134,0.00107178,0.00350966,0.00067314,0.00040755,0.00013843,0.00044636,0.00012461,0.00005198,0.00051266,0.00003804,0.00037099,0.00008945,0.00031136,0.00004791,0.00090470,0.00010755,0.00000593,0.00178657,0.00000000,0.00000000
L6-word,0.00000000,0.00000000,0.97651035,0.00050842,0.00056364,0.00838925,0.00077755,0.00070600,0.00000329,0.00063934,0.00011651,0.00001201,0.00016535,0.00059175,0.00011364,0.00013425,0.00034148,0.00265875,0.00483571,0.00045901,0.00003151,0.00244218,0.00000000
"L6-:""",0.00000000,0.00000000,0.86564690,0.00154158,0.00074520,0.00017666,0.00421405,0.10304608,0.00050775,0.00003663,0.00007572,0.00074947,0.00000348,0.00009899,0.00093139,0.00026952,0.00057335,0.00076339,0.01844046,0.00037045,0.00000332,0.00001473,0.00179079
L6-mean,0.00000000,0.00000000,0.96132736,0.00131340,0.00115736,0.00269903,0.00143135,0.02094640,0.00020564,0.00020128,0.00026369,0.00030595,0.00006066,0.00029843,0.00104499,0.00044270,0.00021771,0.00102880,0.00497457,0.00086682,0.00036428,0.00049138,0.00035816
L7-means,0.00000000,0.00000000,0.99595702,0.00047745,0.00016238,0.00151658,0.00046048,0.00023817,0.00001384,0.00007934,0.00008605,0.00003018,0.00000835,0.00000223,0.00004022,0.00001278,0.00010899,0.00022116,0.00058476,0.00000000,0.00000000,0.00000000,0.00000000
L7-in,0.00000000,0.00000000,0.99354839,0.00179368,0.00033935,0.00061595,0.00018354,0.00004196,0.00006960,0.00003571,0.00012742,0.00014675,0.00000583,0.00000090,0.00017973,0.00000995,0.00001243,0.00031115,0.00008172,0.00249587,0.00000000,0.00000000,0.00000000
L7-one,0.00000000,0.00000000,0.98635447,0.00303095,0.00115364,0.00081228,0.00020317,0.00004222,0.00024292,0.00003095,0.00003482,0.00025794,0.00001510,0.00001299,0.00002606,0.00001928,0.00000640,0.00026132,0.00005677,0.00002542,0.00741321,0.00000000,0.00000000
L7-word,0.00000000,0.00000000,0.99253333,0.00083047,0.00021269,0.00235541,0.00067448,0.00028680,0.00003080,0.00010406,0.00008465,0.00001934,0.00002226,0.00001407,0.00000522,0.00000695,0.00000873,0.00030384,0.00050883,0.00008191,0.00003054,0.00188558,0.00000000
