row_label,0:<blank>,1:<blank>,2:<blank>,3:<blank>,4:<blank>,5:<blank>,6:<blank>,7:<blank>,8:This,9:sentence,10::,"11:""",12:the,13:notificati…,14:was,15:first,16:reported,17:fr,18:iday,19:by,20:ms,21:nb,22:c,23:.,"24:""",25:means,26:in,27:one,28:word,"29::"""
L6-means,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.98699301,0.00062348,0.00047131,0.00263049,0.00134910,0.00143861,0.00011653,0.00004714,0.00029380,0.00008450,0.00001911,0.00002364,0.00001576,0.00023201,0.00254435,0.00002206,0.00001576,0.00037947,0.00269982,0.00000000,0.00000000,0.00000000,0.00000000
L6-in,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.98926103,0.00233286,0.00051561,0.00130374,0.00047202,0.00007411,0.00028661,0.00001028,0.00006762,0.00006981,0.00000256,0.00004614,0.00000157,0.00203665,0.00028038,0.00005892,0.00001686,0.00052329,0.00005236,0.00258768,0.00000000,0.00000000,0.00000000
L6-one,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.98917240,0.00101081,0.00374362,0.00059642,0.00041209,0.00019781,0.00034101,0.00001767,0.00000848,0.00176861,0.00000415,0.00013684,0.00011807,0.00063974,0.00001804,0.00002422,0.00000841,0.00037754,0.00015206,0.00000339,0.00124865,0.00000000,0.00000000
L6-word,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.97516394,0.00056181,0.00055997,0.00790452,0.00090021,0.00071578,0.00010183,0.00015295,0.00025957,0.00100634,0.00013498,0.00003668,0.00262698,0.00058170,0.00015443,0.00008724,0.00006741,0.00340523,0.00311365,0.00034619,0.00002198,0.00209659,0.00000000
"L6-:""",0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.82982719,0.00127648,0.00072236,0.00014552,0.00384705,0.10478827,0.00271236,0.00087331,0.00061272,0.00002760,0.00002382,0.00004785,0.00024891,0.00088808,0.00006004,0.00010258,0.00022269,0.00157018,0.04894406,0.00039112,0.00000335,0.00002327,0.00264121
L6-mean,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.95408351,0.00116109,0.00120257,0.00251614,0.00139609,0.02144291,0.00071167,0.00022027,0.00024844,0.00059137,0.00003692,0.00005823,0.00060226,0.00087564,0.00061145,0.00005901,0.00006623,0.00125114,0.01099239,0.00066568,0.00025479,0.00042397,0.00052824
L7-means,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.99520338,0.00045809,0.00017600,0.00144507,0.00059503,0.00062853,0.00007185,0.00003695,0.00023628,0.00006788,0.00003321,0.00000373,0.00001202,0.00011901,0.00023285,0.00002292,0.00004039,0.00015693,0.00045987,0.00000000,0.00000000,0.00000000,0.00000000
L7-in,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.99458337,0.00138534,0.00028837,0.00062274,0.00020183,0.00007979,0.00019926,0.00000623,0.00008184,0.00003210,0.00000225,0.00000390,0.00000022,0.00051571,0.00014326,0.00001375,0.00000970,0.00025546,0.00006193,0.00151299,0.00000000,0.00000000,0.00000000
L7-one,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.98839313,0.00277235,0.00108386,0.00091454,0.00021410,0.00008742,0.00018636,0.00000790,0.00000812,0.00073805,0.00000232,0.00001403,0.00001283,0.00013978,0.00004600,0.00006936,0.00002256,0.00023289,0.00004012,0.00001755,0.00499669,0.00000000,0.00000000
L7-word,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.99153817,0.00088909,0.00024258,0.00250546,0.00079011,0.00047014,0.00018459,0.00002694,0.00004326,0.00037809,0.00002185,0.00002491,0.00079967,0.00022851,0.00010819,0.00008111,0.00000748,0.00017860,0.00024313,0.00005112,0.00001663,0.00117048,0.00000000
